1;1;LM;DA;3t;18
1;1;OD;HI;3t;11
1;1;BB;EN;3x;1
1;2;UF;SP;SP;18
1;2;SR;BT;3w;20
1;3;HD;MA;3w;14
1;4;TT;re;3t;0
2;1;OD;ol;3y;6
2;1;MD;Fy;3x;20
2;2;TT;re;3w;3
2;3;OA;Fy;3w;14
2;3;BB;EN;3x;1
2;3;TT;re;3t;15
2;4;OD;HI;3y;3
3;1;AP;HI;3w;19
3;1;OD;ol;3y;9
3;1;MT;KI;KI;7
3;2;LM;DA;3t;15
3;2;AD;FR;FR;10
3;2;UF;SP;SP;0
3;2;OD;ol;3y;18
3;2;BB;EN;3x;1
3;3;LM;EN;3y;9
3;3;BE;DA;3x;20
3;3;BB;EN;3x;15
3;3;AP;HI;3w;19
3;4;OD;ol;3y;20
3;4;LM;EN;3y;13
4;2;PL;DA;3y;3
4;3;UF;SP;SP;9
4;3;MD;Fy;3x;12
4;3;PW;DA;3w;18
4;4;OA;Fy;3w;13
4;4;BB;EN;3x;12
5;1;OA;Fy;3w;2
5;1;TQ;SA;3x;12
5;1;ID;Bi;3y;2
5;1;BE;DA;3x;18
5;1;OA;fy;3t;16
5;2;AP;HI;3w;4
5;2;AD;FR;FR;0
5;2;TQ;SA;3x;2
5;3;MT;KI;KI;15
5;3;KD;HI;3x;20
6;1;TT;re;3t;14
6;1;OD;ol;3y;20
6;1;UF;SP;SP;18
6;3;MD;Fy;3x;4
6;4;LM;DA;3t;9
6;4;TQ;SA;3x;6
7;1;LM;EN;3y;21
7;1;OD;ol;3y;2
7;1;SR;BT;3w;13
7;2;TQ;SA;3x;1
7;2;OA;Fy;3w;6
7;3;HD;MA;3w;1
7;3;TQ;SA;3x;2
7;4;OD;ol;3y;11
7;4;TT;id;id3;9
7;4;BB;EN;3x;8
8;1;LM;DA;3t;4
8;2;PL;DA;3y;4
8;3;UF;SP;SP;17
8;3;BB;EN;3x;11
8;3;ID;Bi;3y;17
8;4;OA;fy;3t;14
8;4;ID;Bi;3y;9
8;4;SR;id;id1;9
9;1;PL;DA;3y;2
9;1;SR;BT;3w;8
9;1;LM;DA;3t;9
9;1;LM;EN;3y;15
9;2;PL;DA;3y;3
9;2;LM;DA;3t;5
9;3;AD;FR;FR;6
9;3;OA;Fy;3w;21
9;3;TT;id;id3;13
9;3;LM;EN;3y;2
9;3;KD;HI;3x;5
9;4;TT;re;3w;4
9;4;LM;EN;3y;12
10;1;PL;DA;3y;16
10;1;OD;ol;3y;14
10;2;MT;KI;KI;18
10;2;HD;MA;3w;19
10;3;OA;fy;3t;9
10;4;SR;BT;3w;5
10;4;PW;DA;3w;14
10;4;UF;SP;SP;15
11;1;OA;fy;3t;14
11;1;LM;EN;3y;16
11;2;OD;ol;3x;3
11;3;LM;EN;3y;2
11;3;TQ;SA;3x;14
11;4;OD;ol;3y;1
11;4;AD;FR;FR;16
11;4;TT;re;3t;20
12;1;MD;Fy;3x;5
12;1;KD;HI;3x;4
12;1;OA;fy;3t;13
12;1;OA;fy;3t;16
12;1;AD;FR;FR;0
12;3;PW;EN;3t;4
12;3;LM;DA;3t;0
12;3;AD;FR;FR;12
12;3;OD;ol;3x;20
12;4;OD;HI;3t;13
12;4;PW;EN;3t;10
12;4;OD;ol;3y;1
13;1;MD;Fy;3x;7
13;1;HD;MA;3w;11
13;1;TQ;SA;3x;3
13;2;OA;Fy;3w;3
13;2;PW;EN;3t;16
13;3;OA;fy;3t;9
13;3;TQ;SA;3x;9
13;3;LM;EN;3y;2
13;3;SR;id;id2;7
13;3;PW;EN;3t;11
13;4;TQ;SA;3x;20
13;4;OD;HI;3y;8
13;4;LM;EN;3y;18
14;2;OD;HI;3y;12
14;2;LM;EN;3y;8
14;2;BB;EN;3x;4
14;2;KD;HI;3x;19
14;2;OD;ol;3x;13
14;2;MD;Fy;3x;5
14;3;HD;MA;3w;4
14;3;AD;FR;FR;6
14;3;PL;DA;3y;21
14;4;TT;re;3t;8
14;4;PW;EN;3t;18
15;1;BB;EN;3x;7
15;1;TT;re;3t;21
15;1;AD;FR;FR;6
15;1;SR;BT;3w;12
15;1;OD;ol;3x;2
15;1;LM;EN;3y;9
15;2;PW;DA;3w;11
15;2;LM;EN;3y;7
15;2;PW;EN;3t;0
15;4;OD;HI;3y;2
15;4;OD;HI;3y;15
15;4;LM;DA;3t;6
16;1;UF;SP;SP;21
16;1;OA;Fy;3w;5
16;2;TQ;SA;3x;13
16;3;SR;id;id1;21
16;4;AD;FR;FR;8
16;4;BE;DA;3x;7
17;1;OD;HI;3y;21
17;1;SR;id;id2;17
17;2;MD;Fy;3x;17
17;3;OD;HI;3y;1
17;4;PL;DA;3y;10
17;4;PW;EN;3t;19
17;4;UF;SP;SP;4
17;4;UF;SP;SP;4
17;4;UF;SP;SP;17
18;1;OD;HI;3t;15
18;1;UF;SP;SP;5
18;2;AD;FR;FR;19
18;2;TQ;SA;3x;8
18;2;LM;EN;3y;18
18;3;SR;id;id2;8
18;3;UF;SP;SP;12
18;4;HD;MA;3w;6
19;1;MT;KI;KI;8
19;2;OD;HI;3t;3
19;3;TQ;SA;3x;1
19;4;KD;HI;3x;15
19;4;OD;HI;3t;21
19;4;TT;re;3t;1
20;1;PW;DA;3w;7
20;2;PL;DA;3y;14
20;2;UF;SP;SP;15
20;2;LM;DA;3t;5
20;3;OD;HI;3t;0
20;4;UF;SP;SP;13
20;4;ID;Bi;3y;9
20;4;PL;DA;3y;12
21;1;TT;re;3t;7
21;2;TQ;SA;3x;4
21;2;LM;DA;3t;12
21;3;ID;Bi;3y;19
21;3;SR;id;id1;13
21;3;HD;MA;3w;15
21;3;RG;id;id4;21
21;3;OA;Fy;3w;3
21;4;KD;HI;3x;20
21;4;BE;DA;3x;12
21;4;TQ;SA;3x;11
22;1;OA;fy;3t;5
22;1;OA;fy;3t;2
22;1;OD;HI;3y;21
22;2;TQ;SA;3x;20
22;2;TT;re;3w;13
22;2;PW;DA;3w;19
