0;1;KD;HI;3x;7;3
0;3;KD;HI;3x;16;3
0;4;TT;re;3t;2;3
1;2;ID;Bi;3y;2;3
1;2;BB;EN;3x;5;3
1;2;AP;HI;3w;17;3
1;3;LM;EN;3y;1;3
1;3;TQ;SA;3x;16;3
1;4;OD;ol;3y;0;3
2;1;OA;fy;3t;3;3
2;1;BB;EN;3x;16;3
2;2;TQ;SA;3x;8;3
2;2;PL;DA;3y;7;3
2;2;HD;MA;3w;0;3
2;3;LM;EN;3y;14;3
2;4;HD;MA;3w;5;3
3;3;BE;DA;3x;1;3
3;3;OD;HI;3t;8;3
3;3;SR;BT;3w;13;3
3;4;TT;re;3t;16;3
3;4;OD;ol;3y;17;3
4;1;OD;HI;3y;19;3
4;2;AP;HI;3w;2;3
4;2;TT;re;3t;1;3
4;3;OD;HI;3t;7;3
4;3;PW;DA;3w;6;3
5;2;TT;re;3w;10;3
5;3;MD;Fy;3x;13;3
5;4;PW;DA;3w;15;3
6;1;SR;BT;3w;9;3
6;2;TQ;SA;3x;19;3
6;2;OD;HI;3y;7;3
6;3;BE;DA;3x;19;3
6;3;OD;HI;3t;13;3
6;3;SR;BT;3w;16;3
6;4;BB;EN;3x;15;3
6;4;PW;EN;3t;18;3
7;1;HD;MA;3w;6;3
7;1;BE;DA;3x;14;3
7;1;LM;DA;3t;4;3
7;2;PW;EN;3t;18;3
7;2;MD;Fy;3x;13;3
7;2;OD;ol;3y;5;3
7;3;OD;HI;3t;2;3
7;4;OA;fy;3t;13;3
8;1;MD;Fy;3x;3;3
8;1;HD;MA;3w;8;3
8;2;LM;EN;3y;11;3
8;2;SR;BT;3w;0;3
8;4;AP;HI;3w;7;3
8;4;KD;HI;3x;12;3
9;1;MD;Fy;3x;10;3
9;1;TT;re;3w;9;3
9;2;TQ;SA;3x;0;3
9;2;OD;HI;3t;11;3
9;3;OD;ol;3x;6;3
9;3;OA;fy;3t;3;3
9;4;TQ;SA;3x;1;3
10;1;LM;DA;3t;4;3
10;1;PL;DA;3y;15;3
10;2;OD;HI;3t;1;3
10;2;LM;EN;3y;7;3
10;3;TT;re;3w;13;3
11;2;LM;EN;3y;12;3
11;3;TQ;SA;3x;17;3
11;4;AP;HI;3w;9;3
11;4;PL;DA;3y;3;3
12;1;LM;DA;3t;4;3
12;1;PW;DA;3w;8;3
12;2;HD;MA;3w;12;3
12;2;ID;Bi;3y;18;3
12;3;BE;DA;3x;9;3
12;3;LM;EN;3y;2;3
12;4;OD;ol;3y;10;3
12;4;PW;DA;3w;17;3
13;1;OD;ol;3y;10;3
13;1;BE;DA;3x;18;3
13;3;OA;Fy;3w;5;3
13;3;LM;DA;3t;12;3
13;4;TT;re;3t;13;3
13;4;OA;Fy;3w;5;3
14;1;LM;EN;3y;19;3
14;1;KD;HI;3x;9;3
14;3;TT;re;3w;4;3
14;3;OA;fy;3t;11;3
14;3;PL;DA;3y;16;3
14;3;TQ;SA;3x;19;3
14;4;KD;HI;3x;10;3
15;1;OD;HI;3y;1;3
15;1;BE;DA;3x;14;3
15;2;PW;DA;3w;6;3
15;3;ID;Bi;3y;13;3
15;3;SR;BT;3w;12;3
16;1;OD;ol;3y;12;3
16;1;TT;re;3w;17;3
16;2;BB;EN;3x;9;3
16;2;AP;HI;3w;10;3
16;3;PW;DA;3w;19;3
16;3;OD;HI;3y;18;3
16;4;AP;HI;3w;2;3
16;4;TQ;SA;3x;17;3
16;4;OD;HI;3t;18;3
17;1;PW;EN;3t;17;3
17;1;PL;DA;3y;10;3
17;1;OD;ol;3x;4;3
17;2;KD;HI;3x;3;3
17;3;PW;DA;3w;12;3
17;3;TQ;SA;3x;10;3
17;4;LM;EN;3y;13;3
18;2;SR;BT;3w;13;3
18;2;KD;HI;3x;10;3
18;3;AP;HI;3w;10;3
18;4;PW;DA;3w;14;3
18;4;MD;Fy;3x;0;3
19;1;LM;DA;3t;0;3
19;2;OD;ol;3y;18;3
19;2;SR;BT;3w;12;3
19;3;BE;DA;3x;16;3
19;3;PW;DA;3w;19;3
19;3;LM;EN;3y;6;3
19;4;OD;ol;3y;2;3
19;4;AP;HI;3w;16;3
20;1;HD;MA;3w;14;3
20;1;OA;fy;3t;15;3
20;2;PW;EN;3t;2;3
20;2;PL;DA;3y;8;3
